,食物成分表,,,,,,,,,,,,,,,,,,
序号,名  称,可食部分,能量,水分,蛋白质,脂肪,膳食纤维,碳水化物,维生素A,维生素B1,维生素B2,烟酸,维生素E,钠,钙,铁,类别,维生素C,胆固醇
34,烙饼（标准粉）,100,255,36.4000015258789,7.5,2.29999995231628,1.89999997615814,51,0,0.0199999995529652,0.0399999991059303,0,1.02999997138977,149.300003051758,20,2.40000009536743,11,0,0
35,馒头（蒸，标粉）,100,233,40.5,7.80000019073486,1,1.5,48.2999992370605,0,0.0500000007450581,0.0700000002980232,0,0.860000014305115,165.199996948242,18,1.89999997615814,11,0,0
36,馒头（蒸，富强粉）,100,208,47.2999992370605,6.19999980926514,1.20000004768372,1,43.2000007629395,0,0.0199999995529652,0.0199999995529652,0,0.0900000035762787,165,58,1.70000004768372,11,0,0
37,面筋（水）（水面筋）,100,140,63.5,23.5,0.100000001490116,0.899999976158142,11.3999996185303,0,0.100000001490116,0.0700000002980232,1.10000002384186,0.649999976158142,15,76,4.19999980926514,11,0,0
38,面筋（油）（油面筋）,100,490,7.09999990463257,26.8999996185303,25.1000003814697,1.29999995231628,39.0999984741211,0,0.0299999993294477,0.0500000007450581,2.20000004768372,7.17999982833862,29.5,29,2.5,11,0,0
39,面条（富强粉）（切面）,100,285,29.2000007629395,9.30000019073486,1.10000002384186,0.400000005960464,59.5,0,0.180000007152557,0.0399999991059303,2.20000004768372,0,1.5,24,2,11,0,0
40,面条（干）,100,355,10.5,11,0.100000001490116,0.200000002980232,77.5,0,0.280000001192093,0.0500000007450581,2.70000004768372,0,60.9000015258789,8,9.60000038146973,11,0,0
41,面条（煮，富强粉）,100,109,72.5999984741211,2.70000004768372,0.200000002980232,0.100000001490116,24.2000007629395,0,0,0.00999999977648258,1.79999995231628,0,26.8999996185303,4,0.5,11,0,0
42,面条（虾蓉面）,100,429,6.09999990463257,8.5,15.1000003814697,3.59999990463257,64.6999969482422,0,0,0.00999999977648258,2.79999995231628,1.22000002861023,304.200012207031,17,2,11,0,0
43,面条（标准粉）（切面）,100,280,29.7000007629395,8.5,1.60000002384186,1.5,58,0,0.349999994039536,0.100000001490116,3.09999990463257,0.469999998807907,3.40000009536743,13,2.59999990463257,11,0,0
44,米饭（蒸，籼米）,100,114,71.0999984741211,2.5,0.200000002980232,0.400000005960464,25.6000003814697,0,0.0199999995529652,0.0299999993294477,1.70000004768372,0,1.70000004768372,6,0.300000011920929,11,0,0
45,米饭（蒸，粳米）,100,117,70.5999984741211,2.59999990463257,0.300000011920929,0.200000002980232,26,0,0,0.0299999993294477,2,0,3.29999995231628,7,2.20000004768372,11,0,0
46,米粉（干，细）,100,346,12.3000001907349,8,0.100000001490116,0.100000001490116,78.1999969482422,0,0.0299999993294477,0,0.200000002980232,0,5.90000009536743,0,1.39999997615814,11,0,0
47,米粉（排米粉）,100,355,10.6999998092651,7.40000009536743,0.100000001490116,0.300000011920929,81.1999969482422,0,0.0199999995529652,0.0199999995529652,0.600000023841858,0,16.2999992370605,6,3.20000004768372,11,0,0
48,米粥（粳米）,100,46,88.5999984741211,1.10000002384186,0.300000011920929,0.100000001490116,9.80000019073486,0,0,0.0299999993294477,0.200000002980232,0,2.79999995231628,7,0.100000001490116,11,0,0
49,糜子（带皮）,100,348,9.39999961853027,10.6000003814697,0.600000023841858,0,75.0999984741211,0,0.449999988079071,0.180000007152557,1.20000004768372,3.5,9.60000038146973,99,5,11,0,0
50,糜子米（炒米）,100,374,7.59999990463257,8.10000038146973,2.59999990463257,1,79.5,0,0.28999999165535,0.0399999991059303,0.699999988079071,0,10.6999998092651,12,14.3000001907349,11,0,0
51,糯米（优糯米）,100,344,14.1999998092651,9,1,0.600000023841858,74.6999969482422,0,0.100000001490116,0.0299999993294477,1.89999997615814,0.930000007152557,1.20000004768372,8,0.800000011920929,11,0,0
52,糯米（粳糯）,100,343,13.8000001907349,7.90000009536743,0.800000011920929,0.699999988079071,76,0,0.200000002980232,0.0500000007450581,1.70000004768372,0.0799999982118607,2.79999995231628,21,1.89999997615814,11,0,0
53,糯米（江米）,100,348,12.6000003814697,7.30000019073486,1,0.800000011920929,77.5,0,0.109999999403954,0.0399999991059303,2.29999995231628,1.28999996185303,1.5,26,1.39999997615814,11,0,0
54,糯米（籼）,100,352,12.3000001907349,7.90000009536743,1.10000002384186,0.5,77.5,0,0.189999997615814,0.0399999991059303,2.29999995231628,0,1.89999997615814,14,1.79999995231628,11,0,0
55,糯谷（早糯）,64,344,11.3000001907349,7.09999990463257,0,1.20000004768372,79,7,0.189999997615814,0.0399999991059303,0.699999988079071,0.129999995231628,4.09999990463257,19,3,11,0,0
56,糯米（紫红，血糯米）,100,343,13.8000001907349,8.30000019073486,1.70000004768372,1.39999997615814,73.6999969482422,0,0.310000002384186,0.119999997317791,4.19999980926514,1.36000001430511,4,13,3.90000009536743,11,0,0
57,荞麦,100,324,13,9.30000019073486,2.29999995231628,6.5,66.5,3,0.280000001192093,0.159999996423721,2.20000004768372,4.40000009536743,4.69999980926514,47,6.19999980926514,11,0,0
58,青稞,100,298,12.1000003814697,10.1999998092651,1.20000004768372,13.3999996185303,61.5999984741211,0,0.319999992847443,0.209999993443489,3.59999990463257,1.25,0,0,0,11,0,0
59,烧饼（糖）,100,302,25.8999996185303,8,2.09999990463257,0,62.7000007629395,0,0,0.00999999977648258,1.10000002384186,0.389999985694885,62.5,51,1.60000002384186,11,0,0
60,沙子面,100,362,10.6000003814697,9.89999961853027,1.10000002384186,0,78.1999969482422,0,0.00999999977648258,0.0799999982118607,1.10000002384186,0,0,19,0.899999976158142,11,0,0
61,通心面（通心粉）,100,350,11.8000001907349,11.8999996185303,0.100000001490116,0.400000005960464,75.4000015258789,0,0.119999997317791,0.0299999993294477,1,0,35,14,2.59999990463257,11,0,0
62,五谷香,100,377,5.59999990463257,9.89999961853027,2.59999990463257,0.5,78.4000015258789,0,0.109999999403954,0.189999997615814,0,2.30999994277954,1,2,0.5,11,0,0
63,小麦（龙麦）,100,352,0,12,0,10.1999998092651,76.0999984741211,0,0.479999989271164,0.140000000596046,0,1.9099999666214,107.400001525879,0,5.90000009536743,11,0,0
64,小麦粉（特二粉）,100,349,12,10.3999996185303,1.10000002384186,1.60000002384186,74.3000030517578,0,0.150000005960464,0.109999999403954,2,1.25,1.5,30,3,11,0,0
65,小麦粉（标准粉）,100,344,12.6999998092651,11.1999998092651,1.5,2.09999990463257,71.5,0,0.280000001192093,0.0799999982118607,2,1.79999995231628,3.09999990463257,31,3.5,11,0,0
66,小麦粉（特一，精粉）,100,350,12.6999998092651,10.3000001907349,1.10000002384186,0.600000023841858,74.5999984741211,0,0.170000001788139,0.0599999986588955,2,0.730000019073486,2.70000004768372,27,2.70000004768372,11,0,0
67,小麦胚粉,100,392,4.30000019073486,36.4000015258789,10.1000003814697,5.59999990463257,38.9000015258789,0,3.5,0.790000021457672,3.70000004768372,23.2000007629395,4.59999990463257,85,0.600000023841858,11,0,0
68,小米,100,358,11.6000003814697,9,3.09999990463257,1.60000002384186,73.5,17,0.330000013113022,0.100000001490116,1.5,3.63000011444092,4.30000019073486,41,5.09999990463257,11,0,0
69,小米粥,100,46,89.3000030517578,1.39999997615814,0.699999988079071,0,8.39999961853027,0,0.0199999995529652,0.0700000002980232,0.899999976158142,0.259999990463257,4.09999990463257,10,1,11,0,0
70,燕麦片,100,367,9.19999980926514,15,6.69999980926514,5.30000019073486,61.5999984741211,0,0.300000011920929,0.129999995231628,1.20000004768372,3.0699999332428,3.70000004768372,186,7,11,0,0
71,薏米（薏苡回回米）,100,357,11.1999998092651,12.8000001907349,3.29999995231628,2,69.0999984741211,0,0.219999998807907,0.150000005960464,2,2.07999992370605,3.59999990463257,42,3.59999990463257,11,0,0
72,油饼,100,399,24.7999992370605,7.90000009536743,22.8999996185303,2,40.4000015258789,0,0.109999999403954,0.0500000007450581,0,0,572.5,46,2.29999995231628,11,0,0
73,莜麦面,100,385,11,12.1999998092651,7.19999980926514,0,67.8000030517578,3,0.389999985694885,0.0399999991059303,3.90000009536743,7.96000003814697,2.20000004768372,27,13.6000003814697,11,0,0
74,油条,100,386,21.7999992370605,6.90000009536743,17.6000003814697,0.899999976158142,50.0999984741211,0,0.00999999977648258,0.0700000002980232,0.699999988079071,3.19000005722046,585.200012207031,6,1,11,0,0
75,玉米（白，包谷）,100,336,11.6999998092651,8.80000019073486,3.79999995231628,8,66.6999969482422,0,0.270000010728836,0.0700000002980232,2.29999995231628,8.22999954223633,2.5,10,2.20000004768372,11,0,0
76,玉米（黄，包谷）,100,335,13.1999998092651,8.69999980926514,3.79999995231628,6.40000009536743,66.5999984741211,17,0.209999993443489,0.129999995231628,2.5,3.89000010490417,3.29999995231628,14,2.40000009536743,11,0,0
77,玉米（鲜，包谷）,46,106,71.3000030517578,4,1.20000004768372,2.90000009536743,19.8999996185303,0,0.159999996423721,0.109999999403954,1.79999995231628,0.46000000834465,1.10000002384186,0,1.10000002384186,11,0,0
78,玉米罐头（玉米笋）,100,4,93,1.10000002384186,0.200000002980232,4.90000009536743,0,7,0,0,0,0,170.899993896484,6,0.100000001490116,11,0,0
79,玉米面（白）,100,340,13.3999996185303,8,4.5,6.19999980926514,66.9000015258789,0,0.340000003576279,0.0599999986588955,3,6.8899998664856,0.5,12,1.29999995231628,11,0,0
80,玉米面（黄）,100,340,12.1000003814697,8.10000038146973,3.29999995231628,5.59999990463257,69.5999984741211,7,0.259999990463257,0.0900000035762787,2.29999995231628,3.79999995231628,2.29999995231628,22,3.20000004768372,11,0,0
81,玉米面（黄豆玉米面）,100,339,13.6000003814697,11.8000001907349,4.90000009536743,6.40000009536743,61.9000015258789,0,0.209999993443489,0.0399999991059303,3.09999990463257,7.13000011444092,1.60000002384186,18,3.40000009536743,11,0,0
82,玉米糁（黄）,100,347,12.8000001907349,7.90000009536743,3,3.59999990463257,72,0,0.100000001490116,0.0799999982118607,1.20000004768372,0.569999992847443,1.70000004768372,49,2.40000009536743,11,0,0
83,玉米粥（即食）,100,390,6.30000019073486,7.19999980926514,3.70000004768372,0.400000005960464,81.9000015258789,0,0.0199999995529652,0.0299999993294477,2.20000004768372,0.0799999982118607,1.70000004768372,11,9,11,0,0
84,糍粑（稞麦（熟品））,100,257,49.2999992370605,4.09999990463257,13.1000003814697,1.79999995231628,30.7000007629395,0,0.0500000007450581,0.150000005960464,1.89999997615814,2.6800000667572,8.89999961853027,71,13.8999996185303,11,0,0
85,扁豆,100,326,9.89999961853027,25.2999992370605,0.400000005960464,6.5,55.4000015258789,5,0.259999990463257,0.449999988079071,2.59999990463257,1.86000001430511,2.29999995231628,137,19.2000007629395,21,0,0
86,扁豆（白）,100,256,19.3999996185303,19,1.29999995231628,13.3999996185303,42.2000007629395,0,0.330000013113022,0.109999999403954,1.20000004768372,0.889999985694885,1,68,4,21,0,0
87,蚕豆（去皮）,100,304,11.5,24.6000003814697,1.10000002384186,10.8999996185303,49,8,0.129999995231628,0.230000004172325,2.20000004768372,4.90000009536743,21.2000007629395,49,2.90000009536743,21,0,0
88,蚕豆（带皮）,93,342,11.3000001907349,25.3999996185303,1.60000002384186,2.5,56.4000015258789,50,0.200000002980232,0.200000002980232,2.5,6.67999982833862,2.20000004768372,54,2.5,21,0,0
89,臭干,100,99,77.9000015258789,10.1999998092651,4.59999990463257,0.400000005960464,4.09999990463257,0,0.0199999995529652,0.109999999403954,0.100000001490116,0,33.7999992370605,720,4.19999980926514,21,0,0
90,豆粕,100,310,11.5,42.5999984741211,2.09999990463257,7.59999990463257,30.2000007629395,0,0.490000009536743,0.200000002980232,2.5,5.80999994277954,76,154,14.8999996185303,21,0,0
91,豆腐,100,81,82.8000030517578,8.10000038146973,3.70000004768372,0.400000005960464,3.79999995231628,0,0.0399999991059303,0.0299999993294477,0.200000002980232,2.71000003814697,7.19999980926514,164,1.89999997615814,21,0,0
92,豆腐（内酯豆腐）,100,49,89.1999969482422,5,1.89999997615814,0.400000005960464,2.90000009536743,0,0.0599999986588955,0.0299999993294477,0.300000011920929,3.25999999046326,6.40000009536743,17,0.800000011920929,21,0,0
93,豆腐（南豆腐）,100,57,87.9000015258789,6.19999980926514,2.5,0.200000002980232,2.40000009536743,0,0.0199999995529652,0.0399999991059303,1,3.61999988555908,3.09999990463257,116,1.5,21,0,0
94,豆腐（北）,100,98,80,12.1999998092651,4.80000019073486,0.5,1.5,5,0.0500000007450581,0.0299999993294477,0.300000011920929,6.69999980926514,7.30000019073486,138,2.5,21,0,0
95,豆腐干,100,140,65.1999969482422,16.2000007629395,3.59999990463257,0.800000011920929,10.6999998092651,0,0.0299999993294477,0.0700000002980232,0.300000011920929,0,76.5,308,4.90000009536743,21,0,0
96,豆腐干（香干）,100,147,69.1999969482422,15.8000001907349,7.80000019073486,1.79999995231628,3.29999995231628,7,0.0399999991059303,0.0299999993294477,0.300000011920929,15.8500003814697,4.09999990463257,299,5.69999980926514,21,0,0
97,豆腐干（菜干）,100,136,71.3000030517578,13.3999996185303,7.09999990463257,0.300000011920929,4.69999980926514,0,0.00999999977648258,0.00999999977648258,0.300000011920929,0.620000004768372,633.599975585938,179,3,21,0,0
98,豆腐干（酱油干）,100,158,70.1999969482422,14.8999996185303,9.10000038146973,0,4,0,0.0199999995529652,0.0299999993294477,0,16.4099998474121,90.3000030517578,413,5.90000009536743,21,0,0
99,豆腐干（小香干）,100,174,61,17.8999996185303,9.10000038146973,0.400000005960464,5,0,0.0299999993294477,0.0700000002980232,0,7.3899998664856,372.299987792969,1019,23.2999992370605,21,0,0
100,豆腐干（熏干）,100,153,67.5,15.8000001907349,6.19999980926514,0.300000011920929,8.5,2,0.0299999993294477,0.00999999977648258,1,7.03000020980835,232.699996948242,173,3.90000009536743,21,0,0
101,豆腐花,100,401,1.60000002384186,10,2.59999990463257,0,84.3000030517578,42,0.0199999995529652,0.0299999993294477,0.400000005960464,5,0,175,3.29999995231628,21,0,0
102,豆腐卷（豆制五香卷）,100,200,59.2000007629395,17.7999992370605,13.8999996185303,4.5,1,0,0.0199999995529652,0.0399999991059303,0.200000002980232,46.6599998474121,537.200012207031,6,6.19999980926514,21,0,0
103,豆腐卷,100,201,61.5999984741211,17.8999996185303,11.6000003814697,1,6.19999980926514,30,0.0199999995529652,0.0399999991059303,0.400000005960464,27.6299991607666,0,156,6.09999990463257,21,0,0
104,豆腐脑（老豆腐）,100,10,97.8000030517578,1.89999997615814,0.800000011920929,0,0,6,0.0399999991059303,0.0199999995529652,0.400000005960464,10.460000038147,2.79999995231628,18,0.899999976158142,21,0,0
105,豆腐皮,100,409,16.5,44.5999984741211,17.3999996185303,0.200000002980232,18.6000003814697,0,0.310000002384186,0.109999999403954,1.5,20.6299991607666,9.39999961853027,116,30.7999992370605,21,0,0
106,豆腐丝,100,201,58.4000015258789,21.5,10.5,1.10000002384186,5.09999990463257,5,0.0399999991059303,0.119999997317791,0.5,9.76000022888184,20.6000003814697,204,9.10000038146973,21,0,0
107,豆腐丝（干）,100,451,7.40000009536743,57.7999992370605,22.7999992370605,0,3.59999990463257,0,0.300000011920929,0.600000023841858,0,7.80000019073486,110,5,1.29999995231628,21,0,0
108,豆腐丝（油）,100,300,38.2000007629395,24.2000007629395,17.1000003814697,2.20000004768372,12.3000001907349,3,0.0199999995529652,0.0900000035762787,1.79999995231628,17.7999992370605,769.400024414062,152,5,21,0,0
109,豆腐渣,100,35,89.1999969482422,3.20000004768372,0.800000011920929,2.59999990463257,3.70000004768372,0,0,0,0,0,0,0,0,21,0,0
110,豆肝尖,100,192,57.5999984741211,17.2000007629395,12,5.69999980926514,3.70000004768372,0,0.00999999977648258,0.0599999986588955,0.100000001490116,37.5800018310547,614.5,5,7.40000009536743,21,0,0
111,豆浆,100,13,96.4000015258789,1.79999995231628,0.699999988079071,1.10000002384186,0,15,0.0199999995529652,0.0199999995529652,0.100000001490116,0.800000011920929,3,10,0.5,21,0,0
112,豆浆粉,100,422,1.5,19.7000007629395,9.39999961853027,2.20000004768372,64.5999984741211,0,0.0700000002980232,0.0500000007450581,0.699999988079071,17.9899997711182,26.3999996185303,101,3.70000004768372,21,0,0
113,豆奶,100,30,94,2.40000009536743,1.5,0,1.79999995231628,0,0.0199999995529652,0.0599999986588955,0.300000011920929,4.5,3.20000004768372,23,0.600000023841858,21,0,0
114,豆沙,100,243,39.2000007629395,5.5,1.89999997615814,1.70000004768372,51,0,0.0299999993294477,0.0500000007450581,0.300000011920929,4.36999988555908,23.5,42,8,21,0,0
115,腐乳（白）,100,133,68.3000030517578,10.8999996185303,8.19999980926514,0.899999976158142,3.90000009536743,22,0.0299999993294477,0.0399999991059303,1,8.39999961853027,2460,61,3.79999995231628,21,0,0
116,腐乳（臭，臭豆腐）,100,130,66.4000015258789,11.6000003814697,7.90000009536743,0.800000011920929,3.09999990463257,20,0.0199999995529652,0.0900000035762787,0.600000023841858,9.18000030517578,2012.30004882812,75,6.90000009536743,21,0,0
117,腐乳（桂林腐乳）,100,204,60.0999984741211,7.30000019073486,11.3000001907349,1,18.2000007629395,22,0.0299999993294477,0.0599999986588955,0.400000005960464,13.2200002670288,3000,302,10.1999998092651,21,0,0
118,腐乳（红，酱豆腐）,100,151,61.2000007629395,12,8.10000038146973,0.600000023841858,7.59999990463257,15,0.0199999995529652,0.209999993443489,0.5,7.23999977111816,3091.30004882812,87,11.5,21,0,0
119,腐乳（上海南乳）,100,138,64,9.89999961853027,8.10000038146973,0,6.40000009536743,0,0.0399999991059303,0.119999997317791,0.800000011920929,7.75,2110.39990234375,142,2.90000009536743,21,0,0
120,腐乳（糟豆腐乳，糟乳）,100,158,57.5,11.6999998092651,7.40000009536743,0,11.1999998092651,0,0.0199999995529652,0.0199999995529652,0,8.98999977111816,7410.2998046875,62,22.5,21,0,0
121,腐竹,100,459,7.90000009536743,44.5999984741211,21.7000007629395,1,21.2999992370605,0,0.129999995231628,0.0700000002980232,0.800000011920929,27.8400001525879,26.5,77,16.5,21,0,0
122,腐竹皮,100,489,8.19999980926514,56.5999984741211,26.2999992370605,0,6.5,0,0.129999995231628,0.0399999991059303,0,18,119,48,11.1999998092651,21,0,0
123,高蛋白豆米粉,100,414,2,16.5,7.09999990463257,0,71,0,1.10000002384186,0.680000007152557,0,0,0,0,0,21,0,0
124,黑豆（黑大豆）,100,381,9.89999961853027,36.0999984741211,15.8999996185303,10.1999998092651,23.2999992370605,5,0.200000002980232,0.330000013113022,2,17.3600006103516,3,224,7,21,0,0
125,红豆馅,100,240,35.9000015258789,4.80000019073486,3.59999990463257,7.90000009536743,47.2000007629395,0,0.0399999991059303,0.0500000007450581,1.70000004768372,9.17000007629395,3.29999995231628,2,1,21,0,0
126,花豆（红）,100,317,14.8000001907349,19.1000003814697,1.29999995231628,5.5,57.2000007629395,72,0.25,0,3,6.13000011444092,12.5,38,0.300000011920929,21,0,0
127,花豆（紫）,97,315,13.1999998092651,17.2000007629395,1.39999997615814,7.40000009536743,58.4000015258789,47,0.140000000596046,0,2.70000004768372,9.64000034332275,19.6000003814697,221,5.90000009536743,21,0,0
128,黄豆（大豆）,100,359,10.1999998092651,35.0999984741211,16,15.5,18.6000003814697,37,0.409999996423721,0.200000002980232,2.09999990463257,18.8999996185303,2.20000004768372,191,8.19999980926514,21,0,0
129,黄豆粉,100,418,6.69999980926514,32.7999992370605,18.2999992370605,7,30.5,63,0.310000002384186,0.219999998807907,2.5,33.689998626709,3.59999990463257,207,8.10000038146973,21,0,0
130,豇豆（紫）,100,315,11.1999998092651,18.8999996185303,0.400000005960464,6.90000009536743,58.9000015258789,3,0.219999998807907,0.0900000035762787,2.40000009536743,11.4200000762939,4,67,7.90000009536743,21,0,0
131,豇豆,100,322,10.8999996185303,19.2999992370605,1.20000004768372,7.09999990463257,58.5,10,0.159999996423721,0.0799999982118607,1.89999997615814,8.60999965667725,6.80000019073486,40,7.09999990463257,21,0,0
132,绿豆,100,316,12.3000001907349,21.6000003814697,0.800000011920929,6.40000009536743,55.5999984741211,22,0.25,0.109999999403954,2,10.9499998092651,3.20000004768372,81,6.5,21,0,0
133,绿豆饼（饼折）,100,122,69.6999969482422,15.1999998092651,1.20000004768372,0,12.6999998092651,0,0.0700000002980232,0.0199999995529652,0,0,3.09999990463257,18,1,21,0,0
134,绿豆面,100,330,9.60000038146973,20.7999992370605,0.699999988079071,5.80000019073486,60,15,0.449999988079071,0.119999997317791,0.699999988079071,0,3.29999995231628,134,8.10000038146973,21,0,0
